ID,Date,Doc,Lab,LabNo,Area,AreaNum,Notes,pH,OM360,TECM3,PM3,KM3,CaM3,MgM3,NaM3,SM3,ClM3,EC12,BM3,FeM3,MnM3,CuM3,ZnM3,AlM3,PB2,PO,NO3N,NH4N
29485,8/26/2014,G102,Brookside,0676-1,o,01,fescue/poa nn,5.9,4.25,5.78,26,81,636,87,69,17,15.2,0.06,0.62,441,32,2.65,7.5,667,24,11,2.6,5.5
29486,8/26/2014,G102,Brookside,0677-1,o,02,fescue/poa nn,6,5.31,10.09,31,121,1179,156,121,18,36.03,0.14,0.8,257,105,3.37,9.37,674,16,6,7.7,4.2
29484,8/26/2014,G102,Brookside,0675-1,g,01,per. rye,6.3,4.69,13.01,109,129,1832,130,93,42,23.21,0.16,0.72,420,20,5.17,9.01,907,157,34,2.8,4
25017,9/9/2013,G67,Brookside,0875-1,t,04,kbg,7.9,1.08,38.25,6,30,7166,108,24,6,3.7,0.06,0.28,57,21,0.81,0.94,3,19,8,3.5,2.6
25018,9/9/2013,G67,Brookside,0876-1,f,18,kbg,7.8,4.65,15.84,49,119,2764,122,29,20,13.9,0.13,0.66,190,90,2.15,2.18,387,48,9,10.2,4
25019,9/9/2013,G67,Brookside,0877-1,g,10,bent,8.2,2.24,40.42,6,56,7590,113,20,6,7.69,0.05,0.47,52,40,0.87,1.08,7,24,8,0,1.4
25096,10/28/2013,G68,Brookside,0320-1,g,04,poa bent,8.1,2.08,15.16,58,73,2623,123,77,12,5.31,0.08,0.8,125,30,3.85,21.84,149,102,12,3.5,3
25097,10/28/2013,G68,Brookside,0321-1,g,10,poa bent,7.5,3.22,14.67,91,107,2451,150,74,12,8.37,0.12,0.83,184,23,6.65,29.04,278,261,17,6.7,3.7
25098,10/28/2013,G68,Brookside,0322-1,g,17,poa bent,7.4,0.52,1.75,52,30,223,44,28,5,2.06,0.02,0,74,14,1.43,3.86,220,74,11,1.9,3
25041,10/21/2013,G69,Brookside,0139-1,g,01,bent poa,6.4,2.71,4.21,154,92,447,120,34,12,4.62,0.07,0.32,281,22,3.03,9.26,521,263,39,2.5,5.2
25043,10/21/2013,G69,Brookside,0141-1,g,10,bent poa,5.9,2.32,3.55,205,82,361,65,35,16,4.51,0.06,0.46,317,22,5.98,9.21,591,336,64,1.6,5.5
25042,10/21/2013,G69,Brookside,0140-1,g,07,bent poa,5.8,2.36,3.77,181,85,356,74,33,19,4.64,0.08,0.31,355,17,3.1,8.12,463,255,52,1.6,6.3
25020,9/26/2013,G70,Brookside,0123-1,g,06,poa bent,5.9,1.45,2.24,26,53,223,37,35,19,13.12,0.05,0.53,92,27,4.04,4.54,424,20,8,2.4,12.3
25022,9/26/2013,G70,Brookside,0125-1,g,c,poa bent,5.8,1.76,2.69,24,49,262,43,41,19,12.98,0.06,0.51,105,36,4.81,6.14,421,18,6,2.1,12.9
